id,name,shelves,platforms,rating,review,dates,statuses,genres,franchises,developers,publishers,release_date,url,giantbomb_id
121,Assassin's Creed,"{""Paused"": {""date_added"": ""2019-12-22T12:08:58Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547304-paused/""}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Platformer"": {""url"": ""https://www.grouvee.com/games/?genre=platformer""}}","{""Assassin's Creed"": {""url"": ""https://www.grouvee.com/games/franchise/769-assassins-creed/""}}","{""Ubisoft Montreal Studios"": {""url"": ""https://www.grouvee.com/games/company/16942-ubisoft-montreal-studios/""}}","{""Ubisoft Entertainment"": {""url"": ""https://www.grouvee.com/games/company/16936-ubisoft-entertainment/""}}",2007-11-13,https://www.grouvee.com/games/121-assassins-creed/,2950
122,Assassin's Creed II,"{""Paused"": {""date_added"": ""2019-12-22T12:09:12Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547304-paused/""}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Platformer"": {""url"": ""https://www.grouvee.com/games/?genre=platformer""}}","{""Assassin's Creed"": {""url"": ""https://www.grouvee.com/games/franchise/769-assassins-creed/""}}","{""Ubisoft Montreal Studios"": {""url"": ""https://www.grouvee.com/games/company/16942-ubisoft-montreal-studios/""}}","{""Ubisoft Entertainment"": {""url"": ""https://www.grouvee.com/games/company/16936-ubisoft-entertainment/""}}",2009-11-17,https://www.grouvee.com/games/122-assassins-creed-ii/,22928
123,Assassin's Creed: Brotherhood,"{""Backlog"": {""date_added"": ""2019-12-22T12:40:19Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/""}, ""Steam"": {""date_added"": ""2019-12-22T12:40:21Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}}","{""Assassin's Creed"": {""url"": ""https://www.grouvee.com/games/franchise/769-assassins-creed/""}}","{""Ubisoft Montreal Studios"": {""url"": ""https://www.grouvee.com/games/company/16942-ubisoft-montreal-studios/""}}","{""Ubisoft Entertainment"": {""url"": ""https://www.grouvee.com/games/company/16936-ubisoft-entertainment/""}}",2010-11-16,https://www.grouvee.com/games/123-assassins-creed-brotherhood/,31001
128,Darksiders II,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:53Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 83}, ""Steam"": {""date_added"": ""2019-12-22T12:17:53Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Darksiders"": {""url"": ""https://www.grouvee.com/games/franchise/1830-darksiders/""}}","{""Gunfire Games"": {""url"": ""https://www.grouvee.com/games/company/6791-gunfire-games/""}, ""Vigil Games"": {""url"": ""https://www.grouvee.com/games/company/17315-vigil-games/""}}","{""EuroVideo Medien GmbH"": {""url"": ""https://www.grouvee.com/games/company/19043-eurovideo-medien-gmbh/""}, ""Nordic Games Publishing AB"": {""url"": ""https://www.grouvee.com/games/company/11219-nordic-games-publishing-ab/""}, ""THQ"": {""url"": ""https://www.grouvee.com/games/company/16343-thq/""}}",2012-08-14,https://www.grouvee.com/games/128-darksiders-ii/,29941
129,The Witcher,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:49Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 16}, ""Steam"": {""date_added"": ""2019-12-22T12:17:49Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""The Witcher"": {""url"": ""https://www.grouvee.com/games/franchise/1458-the-witcher/""}}","{""CD Projekt RED Sp. z o.o."": {""url"": ""https://www.grouvee.com/games/company/2759-cd-projekt-red-sp-z-oo/""}, ""CD Projekt Sp. z o.o."": {""url"": ""https://www.grouvee.com/games/company/2760-cd-projekt-sp-z-oo/""}, ""Outsource Media (OMUK)"": {""url"": ""https://www.grouvee.com/games/company/11740-outsource-media-omuk/""}, ""The Farm 51"": {""url"": ""https://www.grouvee.com/games/company/16161-the-farm-51/""}}","{""Atari SA"": {""url"": ""https://www.grouvee.com/games/company/1331-atari-sa/""}}",2007-10-26,https://www.grouvee.com/games/129-the-witcher/,10473
131,inFamous,"{""Wish List"": {""date_added"": ""2019-12-22T12:44:48Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547300-wish-list/""}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Platformer"": {""url"": ""https://www.grouvee.com/games/?genre=platformer""}, ""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}}","{""inFamous"": {""url"": ""https://www.grouvee.com/games/franchise/1781-infamous/""}}","{""Sucker Punch"": {""url"": ""https://www.grouvee.com/games/company/15479-sucker-punch/""}}","{""Sony Computer Entertainment America"": {""url"": ""https://www.grouvee.com/games/company/14841-sony-computer-entertainment-america/""}, ""Sony Computer Entertainment Europe"": {""url"": ""https://www.grouvee.com/games/company/14843-sony-computer-entertainment-europe/""}}",2009-05-26,https://www.grouvee.com/games/131-infamous/,20599
134,"Warhammer 40,000: Space Marine","{""Backlog"": {""date_added"": ""2019-12-22T12:17:49Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 24}, ""Steam"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}}","{""Warhammer 40,000"": {""url"": ""https://www.grouvee.com/games/franchise/514-warhammer-40000/""}}","{""Relic Entertainment"": {""url"": ""https://www.grouvee.com/games/company/13316-relic-entertainment/""}, ""Sonic Mayhem"": {""url"": ""https://www.grouvee.com/games/company/14830-sonic-mayhem/""}}","{""THQ"": {""url"": ""https://www.grouvee.com/games/company/16343-thq/""}}",2011-09-06,https://www.grouvee.com/games/134-warhammer-40000-space-marine/,23708
137,BioShock 2,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:55Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 124}, ""Steam"": {""date_added"": ""2019-12-22T12:17:55Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""First-Person Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=first-person-shooter""}}","{""BioShock"": {""url"": ""https://www.grouvee.com/games/franchise/1707-bioshock/""}}","{""2K Australia"": {""url"": ""https://www.grouvee.com/games/company/81-2k-australia/""}, ""2K China"": {""url"": ""https://www.grouvee.com/games/company/82-2k-china/""}, ""2K Marin"": {""url"": ""https://www.grouvee.com/games/company/85-2k-marin/""}, ""Arkane Studios SA"": {""url"": ""https://www.grouvee.com/games/company/1149-arkane-studios-sa/""}, ""Darkside Game Studios"": {""url"": ""https://www.grouvee.com/games/company/3849-darkside-game-studios/""}, ""Digital Extremes"": {""url"": ""https://www.grouvee.com/games/company/4233-digital-extremes/""}, ""Feral Interactive"": {""url"": ""https://www.grouvee.com/games/company/5456-feral-interactive/""}, ""Iron Galaxy Studios"": {""url"": ""https://www.grouvee.com/games/company/7922-iron-galaxy-studios/""}}","{""2K Games"": {""url"": ""https://www.grouvee.com/games/company/84-2k-games/""}, ""Take-Two Interactive Software, Inc."": {""url"": ""https://www.grouvee.com/games/company/15750-take-two-interactive-software-inc/""}}",2010-02-09,https://www.grouvee.com/games/137-bioshock-2/,20827
139,Borderlands,"{""Paused"": {""date_added"": ""2019-12-22T12:09:57Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547304-paused/""}}",{},,,"[{""date_started"": ""None"", ""date_finished"": ""None"", ""seconds_played"": 14400, ""level_of_completion"": null}]",[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""First-Person Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=first-person-shooter""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Borderlands"": {""url"": ""https://www.grouvee.com/games/franchise/1769-borderlands/""}}","{""Blind Squirrel Games"": {""url"": ""https://www.grouvee.com/games/company/2080-blind-squirrel-games/""}, ""Gearbox Software LLC"": {""url"": ""https://www.grouvee.com/games/company/6287-gearbox-software-llc/""}}","{""2K Games"": {""url"": ""https://www.grouvee.com/games/company/84-2k-games/""}}",2009-10-20,https://www.grouvee.com/games/139-borderlands/,20487
140,Minecraft,"{""Played"": {""date_added"": ""2020-07-04T17:17:58Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547297-played/""}, ""Backlog"": {""date_added"": ""2019-12-17T05:31:43Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/""}, ""Endless"": {""date_added"": ""2020-07-04T17:17:54Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547305-endless/""}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}}","{""Minecraft"": {""url"": ""https://www.grouvee.com/games/franchise/3104-minecraft/""}}","{""4J Studios"": {""url"": ""https://www.grouvee.com/games/company/164-4j-studios/""}, ""Digital Eclipse Software, Inc."": {""url"": ""https://www.grouvee.com/games/company/4227-digital-eclipse-software-inc/""}, ""Mojang AB"": {""url"": ""https://www.grouvee.com/games/company/10419-mojang-ab/""}, ""Other Ocean Interactive"": {""url"": ""https://www.grouvee.com/games/company/11697-other-ocean-interactive/""}}","{""Microsoft Studios"": {""url"": ""https://www.grouvee.com/games/company/10132-microsoft-studios/""}, ""Mojang AB"": {""url"": ""https://www.grouvee.com/games/company/10419-mojang-ab/""}, ""Sony Computer Entertainment America"": {""url"": ""https://www.grouvee.com/games/company/14841-sony-computer-entertainment-america/""}, ""Sony Computer Entertainment Europe"": {""url"": ""https://www.grouvee.com/games/company/14843-sony-computer-entertainment-europe/""}}",2009-05-17,https://www.grouvee.com/games/140-minecraft/,30475
144,Grand Theft Auto: Vice City,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 38}, ""Steam"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Driving/Racing"": {""url"": ""https://www.grouvee.com/games/?genre=drivingracing""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Grand Theft Auto"": {""url"": ""https://www.grouvee.com/games/franchise/845-grand-theft-auto/""}}","{""Rockstar North"": {""url"": ""https://www.grouvee.com/games/company/13595-rockstar-north/""}, ""War Drum Studios"": {""url"": ""https://www.grouvee.com/games/company/17565-war-drum-studios/""}}","{""Rockstar Games"": {""url"": ""https://www.grouvee.com/games/company/13590-rockstar-games/""}}",2002-10-27,https://www.grouvee.com/games/144-grand-theft-auto-vice-city/,17036
145,Grand Theft Auto III,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 26}, ""Steam"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Driving/Racing"": {""url"": ""https://www.grouvee.com/games/?genre=drivingracing""}, ""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}, ""Simulation"": {""url"": ""https://www.grouvee.com/games/?genre=simulation""}}","{""Grand Theft Auto"": {""url"": ""https://www.grouvee.com/games/franchise/845-grand-theft-auto/""}}","{""Rockstar North"": {""url"": ""https://www.grouvee.com/games/company/13595-rockstar-north/""}, ""War Drum Studios"": {""url"": ""https://www.grouvee.com/games/company/17565-war-drum-studios/""}}","{""Capcom"": {""url"": ""https://www.grouvee.com/games/company/2599-capcom/""}, ""Rockstar Games"": {""url"": ""https://www.grouvee.com/games/company/13590-rockstar-games/""}, ""Take-Two Interactive Software, Inc."": {""url"": ""https://www.grouvee.com/games/company/15750-take-two-interactive-software-inc/""}}",2001-10-22,https://www.grouvee.com/games/145-grand-theft-auto-iii/,3724
