Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26830720,Unity Virtual Reality Projects: Explore the world of Virtual Reality by building immersive and fun VR projects using Unity 3D,Jonathan Linowes,"Linowes, Jonathan",,"=""""","=""""",0,3.39,Packt Publishing,Kindle Edition,288,2015,2015,,2019/11/30,"to-read, gameprogramming, vr","to-read (#26), gameprogramming (#8), vr (#2)",to-read,,,,0,1
38226053,"Virtual Reality-Spiele entwickeln mit Unity®: Grundlagen, Beispielprojekte, Tipps & Tricks (German Edition)",Daniel Korgel,"Korgel, Daniel",,"=""3446456236""","=""9783446456235""",0,0.0,Hanser Fachbuchverlag,Kindle Edition,593,2018,,,2019/11/30,"to-read, gameprogramming, vr","to-read (#28), gameprogramming (#2), vr (#1)",to-read,,,,0,1
14652262,Introduction to 3D Game Programming with DirectX 11,Frank D. Luna,"Luna, Frank D.",,"=""1936420228""","=""9781936420223""",0,4.32,Mercury Learning and Information,Paperback,600,2012,2012,,2019/11/30,"to-read, gameprogramming","to-read (#20), gameprogramming (#7)",to-read,,,,0,1
83887,Artificial Intelligence for Games (Morgan Kaufmann Series in Interactive 3D Technology),Ian Millington,"Millington, Ian",,"=""0124977820""","=""9780124977822""",0,4.22,CRC Press,Hardcover,896,2006,2006,,2019/11/30,"to-read, gameprogramming","to-read (#44), gameprogramming (#6)",to-read,,,,0,1
20647033,Unity Multiplayer Games,Alan R. Stagner,"Stagner, Alan R.",,"=""""","=""""",0,3.38,Packt Publishing,Kindle Edition,244,2013,2013,,2019/11/30,"to-read, gameprogramming","to-read (#27), gameprogramming (#5)",to-read,,,,0,1
9267,Agile Estimating and Planning,Mike Cohn,"Cohn, Mike",,"=""0131479415""","=""9780131479418""",0,4.14,Pearson,Paperback,368,2005,2005,,2019/11/30,"to-read, extremeagile","to-read (#72), extremeagile (#11)",to-read,,,,0,1
29458076,An Introduction to Unreal Engine 4 (Focal Press Game Design Workshops),Andrew Sanders,"Sanders, Andrew",,"=""1498765092""","=""9781498765091""",0,3.50,A K Peters/CRC Press,Paperback,256,2016,,,2019/11/30,"to-read, gameprogramming","to-read (#29), gameprogramming (#4)",to-read,,,,0,1
32854656,Unreal Engine 4 Scripting with C++ Cookbook,William Sherif,"Sherif, William",,"=""""","=""""",0,4.00,Packt Publishing,Kindle Edition,782,2016,,,2019/11/30,"to-read, gameprogramming","to-read (#30), gameprogramming (#3)",to-read,,,,0,1
6884021,Head First 2D Geometry: A Brain-Friendly Guide,Lindsey Fallow,"Fallow, Lindsey",Dawn Griffiths,"=""059680833X""","=""9780596808334""",0,3.91,O'Reilly Media,Paperback,354,2009,2009,,2019/11/29,"to-read, learning","to-read (#2), learning (#14)",to-read,,,,0,1
349417,Implementing Lean Software Development: From Concept to Cash,Mary Poppendieck,"Poppendieck, Mary",Tom Poppendieck,"=""0321437381""","=""9780321437389""",0,4.19,Addison-Wesley Professional,Paperback,304,2006,2006,,2020/03/06,"to-read, extremeagile","to-read (#166), extremeagile (#10)",to-read,,,,0,0
3063393,Pragmatic Thinking and Learning: Refactor Your Wetware,Andy   Hunt,"Hunt, Andy",,"=""1934356050""","=""9781934356050""",0,4.13,"Pragmatic Programmers, LLC, The",Paperback,251,2008,2008,,2020/03/06,"to-read, programming","to-read (#165), programming (#171)",to-read,,,,0,0
969805,Exploring Requirements: Quality Before Design,Donald C. Gause,"Gause, Donald C.",Gerald M. Weinberg,"=""0932633137""","=""9780932633132""",0,3.82,Dorset House,Hardcover,320,1989,1989,,2020/03/06,"to-read, extremeagile","to-read (#163), extremeagile (#9)",to-read,,,,0,0
1311542,Continuous Integration: Improving Software Quality and Reducing Risk,Paul Duvall,"Duvall, Paul","Steve Matyas, Andrew Glover","=""0321336380""","=""9780321336385""",0,3.80,Addison-Wesley Professional,Paperback,336,2007,2007,,2020/03/06,"to-read, extremeagile","to-read (#162), extremeagile (#8)",to-read,,,,0,0
942575,Agile Software Development: The Cooperative Game,Alistair Cockburn,"Cockburn, Alistair",,"=""0321482751""","=""9780321482754""",0,3.97,Addison-Wesley Professional,Paperback,504,2006,2006,,2020/03/06,"extremeagile, to-read","extremeagile (#5), to-read (#160)",to-read,,,,0,0
